link,price,currency,type,beds,baths,area,location,down_payment,plan_type
https://www.bayut.eg/en/property/details-501189976.html,"7,800,000",EGP,Villa,3.0,2.0,155 Sq. M.,"Sheikh Zayed, Giza","EGP 390,000",Off-Plan
https://www.bayut.eg/en/property/details-501189949.html,"7,941,000",EGP,Apartment,2.0,1.0,126 Sq. M.,"Badya Palm Hills Compound, 6th of October, Giza","EGP 794,100",
https://www.bayut.eg/en/property/details-501189810.html,"25,000,000",EGP,Apartment,4.0,4.0,260 Sq. M.,"Cairo Festival City, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501189733.html,"7,964,910",EGP,Duplex,3.0,3.0,216 Sq. M.,"Mostakbal City, Cairo","EGP 7,000,000",Off-Plan
https://www.bayut.eg/en/property/details-501189679.html,"11,500,000",EGP,Apartment,3.0,3.0,230 Sq. M.,"Rehab City Compound, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501189553.html,"3,971,000",EGP,Apartment,3.0,2.0,121 Sq. M.,"New Capital City, Cairo","EGP 198,550",
https://www.bayut.eg/en/property/details-501189509.html,"14,225,000",EGP,Duplex,3.0,3.0,177 Sq. M.,"Al Burouj, Shorouk City, Cairo",,
https://www.bayut.eg/en/property/details-501189459.html,"3,971,000",EGP,Apartment,3.0,2.0,121 Sq. M.,"Al Maqsad, New Capital City, Cairo","EGP 198,550",
https://www.bayut.eg/en/property/details-501189334.html,"4,438,000",EGP,Apartment,3.0,2.0,134 Sq. M.,"New Capital City, Cairo","EGP 221,900",
https://www.bayut.eg/en/property/details-501189250.html,"4,438,000",EGP,Apartment,3.0,2.0,134 Sq. M.,"Al Maqsad, New Capital City, Cairo","EGP 221,900",
https://www.bayut.eg/en/property/details-501189244.html,"15,580,000",EGP,Apartment,3.0,3.0,164 Sq. M.,"5th Settlement, New Cairo, Cairo","EGP 1,558,000",Off-Plan
https://www.bayut.eg/en/property/details-501189103.html,"7,500,000",EGP,Apartment,1.0,1.0,74 Sq. M.,"5th Settlement, New Cairo, Cairo","EGP 750,000",Off-Plan
https://www.bayut.eg/en/property/details-501189086.html,"6,110,000",EGP,Apartment,3.0,2.0,130 Sq. M.,"New Zayed Compound, Sheikh Zayed, Giza",,
https://www.bayut.eg/en/property/details-501189080.html,"7,700,000",EGP,Apartment,2.0,2.0,108 Sq. M.,"De Joya Compound, Sheikh Zayed, Giza",,Off-Plan
https://www.bayut.eg/en/property/details-501189033.html,"34,000,000",EGP,Villa,4.0,4.0,237 Sq. M.,"Sodic East, New Heliopolis, Cairo",,Off-Plan
https://www.bayut.eg/en/property/details-501188930.html,"5,288,000",EGP,Apartment,3.0,2.0,169 Sq. M.,"New Capital City, Cairo","EGP 264,400",
https://www.bayut.eg/en/property/details-501188873.html,"5,288,000",EGP,Apartment,3.0,2.0,169 Sq. M.,"Al Maqsad, New Capital City, Cairo","EGP 264,400",
https://www.bayut.eg/en/property/details-501188706.html,"26,899,000",EGP,Townhouse,3.0,3.0,200 Sq. M.,"Palm Hills New Cairo Compound, New Cairo, Cairo","EGP 1,344,950",Off-Plan
https://www.bayut.eg/en/property/details-501188648.html,"4,807,000",EGP,Apartment,3.0,2.0,155 Sq. M.,"New Capital City, Cairo","EGP 240,350",
https://www.bayut.eg/en/property/details-501188645.html,"9,388,000",EGP,Apartment,3.0,3.0,155 Sq. M.,"Mountain View iCity Compound, 6th of October, Giza","EGP 938,000",Off-Plan
https://www.bayut.eg/en/property/details-501188594.html,"15,661,000",EGP,Apartment,2.0,2.0,132 Sq. M.,"New Cairo, Cairo","EGP 783,050",Off-Plan
